새티커,원래티커,종목명,시장
SSE,5930,삼성전자,KOSPI
SKH,660,SK하이닉스,KOSPI
SSEP,5935,삼성전자우,KOSPI
LGE,373220,LG에너지솔루션,KOSPI
HMC,5380,현대차,KOSPI
SKS,402340,SK스퀘어,KOSPI
DSE,34020,두산에너빌리티,KOSPI
HWA,12450,한화에어로스페이스,KOSPI
SSB,207940,삼성바이오로직스,KOSPI
HDHI,329180,HD현대중공업,KOSPI
KIA,270,기아,KOSPI
SSM,9150,삼성전기,KOSPI
KBF,105560,KB금융,KOSPI
SSD,6400,삼성SDI,KOSPI
SSL,32830,삼성생명,KOSPI
SST,28260,삼성물산,KOSPI
SHFH,55550,신한지주,KOSPI
CTRN,68270,셀트리온,KOSPI
HMB,12330,현대모비스,KOSPI
HWO,42660,한화오션,KOSPI
HDE,267260,HD현대일렉트릭,KOSPI
MAS,6800,미래에셋증권,KOSPI
KZ,10130,고려아연,KOSPI
NVR,35420,NAVER,KOSPI
HNFH,86790,하나금융지주,KOSPI
PSCH,5490,POSCO홀딩스,KOSPI
HDK,9540,HD한국조선해양,KOSPI
KE,15760,한국전력,KOSPI
LSE,10120,LS ELECTRIC,KOSPI
HYH,298040,효성중공업,KOSPI
SSH,10140,삼성중공업,KOSPI
HMS,42700,한미반도체,KOSPI
LGC,51910,LG화학,KOSPI
SK,34730,SK,KOSPI
HMR,64350,현대로템,KOSPI
WRFH,316140,우리금융지주,KOSPI
HWS,272210,한화시스템,KOSPI
DSN,150,두산,KOSPI
PSF,3670,포스코퓨처엠,KOSPI
SKI,96770,SK이노베이션,KOSPI
LDA,79550,LIG디펜스앤에어로스페이스,KOSPI
LGEL,66570,LG전자,KOSPI
SKT,17670,SK텔레콤,KOSPI
KKO,35720,카카오,KOSPI
HDH,267250,HD현대,KOSPI
SSF,810,삼성화재,KOSPI
HMM,11200,HMM,KOSPI
KTG,33780,KT&G,KOSPI
MZFH,138040,메리츠금융지주,KOSPI
HMEC,720,현대건설,KOSPI
KAI,47810,한국항공우주,KOSPI
IBK,24110,기업은행,KOSPI
HMG,86280,현대글로비스,KOSPI
APL,278470,에이피알,KOSPI
KT,30200,KT,KOSPI
LG,3550,LG,KOSPI
KFGH,71050,한국금융지주,KOSPI
PSI,47050,포스코인터내셔널,KOSPI
SDS,18260,삼성에스디에스,KOSPI
DSDE,47040,대우건설,KOSPI
SKSO,10950,S-Oil,KOSPI
NHI,5940,NH투자증권,KOSPI
KRF,259960,크래프톤,KOSPI
HMA,307950,현대오토에버,KOSPI
ISP,7660,이수페타시스,KOSPI
LGI,11070,LG이노텍,KOSPI
KKB,323410,카카오뱅크,KOSPI
KWS,39490,키움증권,KOSPI
DBI,5830,DB손해보험,KOSPI
LS,6260,LS,KOSPI
HYB,352820,하이브,KOSPI
HDM,443060,HD현대마린솔루션,KOSPI
SYF,3230,삼양식품,KOSPI
SSA,28050,삼성E&A,KOSPI
SSV,16360,삼성증권,KOSPI
HWH,880,한화,KOSPI
HJKA,3490,대한항공,KOSPI
HMCB,5387,현대차2우B,KOSPI
HDC,267270,HD건설기계,KOSPI
HWSO,9830,한화솔루션,KOSPI
SKB,326030,SK바이오팜,KOSPI
HTT,161390,한국타이어앤테크놀로지,KOSPI
ELN,66970,엘앤에프,KOSPI
HJK,180640,한진칼,KOSPI
LGD,34220,LG디스플레이,KOSPI
KKP,377300,카카오페이,KOSPI
APC,90430,아모레퍼시픽,KOSPI
DEW,1440,대한전선,KOSPI
YHN,100,유한양행,KOSPI
LGU,32640,LG유플러스,KOSPI
DSB,241560,두산밥캣,KOSPI
KEC,52690,한전기술,KOSPI
LGCN,64400,LG씨엔에스,KOSPI
GS,78930,GS,KOSPI
SEL,62040,산일전기,KOSPI
HMP,128940,한미약품,KOSPI
SSC,29780,삼성카드,KOSPI
